iter	RMSE
0	0.510912584
1	0.4872320018
2	0.4646772672
3	0.444120011
4	0.4238986209
5	0.4054481415
6	0.3873603498
7	0.3708846255
8	0.3555116568
9	0.3422301911
10	0.3278452251
11	0.314254997
12	0.3022310832
13	0.2900270695
14	0.2800061469
15	0.2699724432
16	0.2597126636
17	0.2502163387
18	0.2411028875
19	0.2332928205
20	0.2249421266
21	0.2171534394
22	0.2094996826
23	0.2022717739
24	0.1958896939
25	0.1893120868
26	0.183531522
27	0.1779017831
28	0.1724810265
29	0.1677898105
30	0.1630707012
31	0.1589051966
32	0.1543998988
33	0.150797768
34	0.1466343775
35	0.1431032418
36	0.1396334833
37	0.1363368827
38	0.1332412137
39	0.1304925367
40	0.1276487083
41	0.1250660634
42	0.1224634418
43	0.1201866638
44	0.1179155402
45	0.1161485532
46	0.1140556974
47	0.1125400914
48	0.1109773437
49	0.1095260046
50	0.1081111223
51	0.106813237
52	0.1056731822
53	0.1047750977
54	0.103669467
55	0.1027480906
56	0.1016946679
57	0.1007302368
58	0.09978623402
59	0.09877878001
60	0.09807748408
61	0.09744562715
62	0.09691166898
63	0.09642606177
64	0.09572466077
65	0.09525681978
66	0.09470672201
67	0.09433414756
68	0.09387943445
69	0.09354212661
70	0.09313106642
71	0.0928364396
72	0.09260067167
73	0.09232092267
74	0.09191635
75	0.09167722427
76	0.09132104703
77	0.09111558327
78	0.09093460823
79	0.09080957606
80	0.09045627116
81	0.09024794201
82	0.09009479773
83	0.08989995917
84	0.08978505515
85	0.08962691872
86	0.08946839088
87	0.08936060346
88	0.08920020304
89	0.08906248437
90	0.08896259117
91	0.08887085976
92	0.08875639415
93	0.08864249174
94	0.0885451251
95	0.08844907947
96	0.08835437378
97	0.08826792946
98	0.08816327303
99	0.08807904835
100	0.08800254666
101	0.08789534557
102	0.08780885482
103	0.08775221881
104	0.08766433474
105	0.08755151886
106	0.08745402637
107	0.08739579095
108	0.08731844104
109	0.08723164284
110	0.08717434032
111	0.08707770052
112	0.08698812894
113	0.08690928678
114	0.08686093014
115	0.08677989181
116	0.08673438157
117	0.08667434122
118	0.08660219248
119	0.08655411047
120	0.086476805
121	0.08642356409
122	0.08633895339
123	0.08629187841
124	0.08624555363
125	0.08617953656
126	0.08611784527
127	0.08606797333
128	0.08600621226
129	0.08596731333
130	0.08591820356
131	0.08586664193
132	0.08581998508
133	0.08574990972
134	0.08572197606
135	0.08565538359
136	0.08560351187
137	0.08556183823
138	0.08551852462
139	0.08546194023
140	0.0854187177
141	0.08538010518
142	0.08533014208
143	0.0852773076
144	0.08524175208
145	0.0851907632
146	0.08514063261
147	0.08510310864
148	0.08505732319
149	0.08500623734
150	0.08496238042
151	0.08492137801
152	0.08488745225
153	0.08481198084
154	0.08477957911
155	0.08471920011
156	0.08467447793
157	0.0846296754
158	0.08458964652
159	0.08454976823
160	0.084504446
161	0.0844497364
162	0.08440376396
163	0.08434325072
164	0.08430270157
165	0.08424839491
166	0.08420269217
167	0.08415292809
168	0.08410552758
169	0.08406455854
170	0.08402459762
171	0.08398111967
172	0.08392723903
173	0.08388184124
174	0.08381797673
175	0.08376560235
176	0.08369941805
177	0.08365709882
178	0.0835955462
179	0.08354537391
180	0.0835027377
181	0.08346368201
182	0.08339360449
183	0.08334513051
184	0.08329241741
185	0.08324515985
186	0.08319439697
187	0.08312570289
188	0.08308110013
189	0.08300930384
190	0.08294027733
191	0.08289419568
192	0.0828531586
193	0.08281470369
194	0.08275796064
195	0.08269356616
196	0.08265072927
197	0.08259699795
198	0.08253436684
199	0.08247112954
200	0.08242038905
201	0.08235588943
202	0.08230248624
203	0.08224629639
204	0.0822083747
205	0.08215031088
206	0.08209966998
207	0.08204043888
208	0.08199200959
209	0.08193465083
210	0.08188484346
211	0.08183280599
212	0.08179396956
213	0.08173055596
214	0.08167049002
215	0.08162692526
216	0.08157156724
217	0.08150599464
218	0.08146677282
219	0.08141478494
220	0.08134918933
221	0.08130917772
222	0.08125103517
223	0.08120783665
224	0.0811618793
225	0.08112006309
226	0.08108366376
227	0.08101527385
228	0.08096614895
229	0.08090556102
230	0.08086350431
231	0.08082741544
232	0.08076938242
233	0.08072232497
234	0.08066505931
235	0.08061063817
236	0.08056386012
237	0.08051515919
238	0.08046577005
239	0.08042709834
240	0.08037130793
241	0.0803256979
242	0.08026007057
243	0.08021913114
244	0.08015909969
245	0.08011047961
246	0.08007997916
247	0.08003309033
248	0.07996350509
249	0.07991151187
250	0.07986518759
251	0.079793787
252	0.07974202602
253	0.07969992088
254	0.07966768396
255	0.07962801934
256	0.07958414587
257	0.07954268168
258	0.07949149371
259	0.07942514481
260	0.07939196688
261	0.07934866547
262	0.0793080194
263	0.07924991059
264	0.07920452318
265	0.07916179851
266	0.07911563624
267	0.07904562784
268	0.07900112838
269	0.07895537195
270	0.07890662321
271	0.07886446487
272	0.07879907906
273	0.07874910725
274	0.07870886471
275	0.07866507388
276	0.0786272453
277	0.07858958139
278	0.07854257059
279	0.07846884084
280	0.07841432677
281	0.07837755282
282	0.07833811574
283	0.07829307907
284	0.07825429127
285	0.07821921305
286	0.07817403946
287	0.07810882475
288	0.07806139801
289	0.07802034758
290	0.07795694614
291	0.07791001576
292	0.077864023
293	0.0778078449
294	0.07775232915
295	0.07771199606
296	0.07766105797
297	0.07762410655
298	0.07757932822
299	0.07753696972
300	0.07748846426
301	0.07744334737
302	0.07738921121
303	0.0773302259
304	0.07728567154
305	0.07725275596
306	0.07722204862
307	0.07718015903
308	0.07712707059
309	0.07706924524
310	0.07701225942
311	0.07698332529
312	0.07692862878
313	0.07688313075
314	0.07683738585
315	0.07680258614
316	0.07676274492
317	0.0766897751
318	0.07664827122
319	0.076617496
320	0.07658776699
321	0.07655612371
322	0.07652024976
323	0.07645979803
324	0.07640592685
325	0.07636255218
326	0.0763149764
327	0.07626852361
328	0.0762374606
329	0.07618608791
330	0.07614667919
331	0.07609864076
332	0.07603482434
333	0.0759910316
334	0.07595901633
335	0.07592603493
336	0.07588571755
337	0.07584649894
338	0.07580252277
339	0.07577365517
340	0.07573799746
341	0.07569958167
342	0.07565336302
343	0.07560862282
344	0.07555853586
345	0.07550871077
346	0.07545448289
347	0.07541097843
348	0.0753663956
349	0.07533218435
350	0.07529969821
351	0.07525158912
352	0.07521959792
353	0.0751850452
354	0.07513519962
355	0.07509793365
356	0.07505716972
357	0.0750215321
358	0.07498475943
359	0.07494376792
360	0.07489817589
361	0.07483324826
362	0.07479379674
363	0.07474691663
364	0.07470498705
365	0.07464133473
366	0.07460631178
367	0.07456477786
368	0.07451218728
369	0.07448298508
370	0.07443627545
371	0.07436913511
372	0.07434003048
373	0.07429453895
374	0.07425750064
375	0.07421766571
376	0.07418543569
377	0.07414310729
378	0.07411154489
379	0.07406091405
380	0.07403692616
381	0.07399171193
382	0.07394701071
383	0.07390527562
384	0.07385600814
385	0.07380117811
386	0.07377216786
387	0.07371607842
388	0.07367665094
389	0.07364294864
390	0.07359811768
391	0.07353313068
392	0.07349369586
393	0.07345607702
394	0.07341334676
395	0.07338300894
396	0.07334060308
397	0.07329625469
398	0.07325309075
399	0.07322031489
400	0.07317857129
401	0.0731382546
402	0.0731117098
403	0.07308282768
404	0.07303802726
405	0.0730083189
406	0.07297363676
407	0.07293177481
408	0.07289151779
409	0.07283622072
410	0.07279954399
411	0.07276625035
412	0.07273658326
413	0.07269060888
414	0.07265188929
415	0.07261904371
416	0.07258006913
417	0.07253942817
418	0.07250329507
419	0.07247354566
420	0.07243004606
421	0.07238319667
422	0.0723273083
423	0.07228806494
424	0.07225496711
425	0.07222300399
426	0.07217883092
427	0.07213576478
428	0.07210122968
429	0.07207467042
430	0.07203655084
431	0.07200235714
432	0.07195282871
433	0.07190816424
434	0.07187886274
435	0.07184539183
436	0.07181428799
437	0.07177825137
438	0.07174945806
439	0.07169971924
440	0.07167404698
441	0.07163412116
442	0.07160208702
443	0.07156185331
444	0.07152604437
445	0.07149617754
446	0.07143749206
447	0.07140586264
448	0.07137434113
449	0.07134883513
450	0.07131110154
451	0.07128415031
452	0.07124881089
453	0.07121401935
454	0.07117540092
455	0.07114320664
456	0.07110786642
457	0.07106448869
458	0.07103813074
459	0.07100806948
460	0.07097201947
461	0.0709366608
462	0.07091357972
463	0.07087966245
464	0.07084095464
465	0.07080692637
466	0.07077032403
467	0.07072676325
468	0.07070236282
469	0.07066465763
470	0.07063494785
471	0.07061023953
472	0.07056186907
473	0.0705181306
474	0.0704626587
475	0.07042851587
476	0.0703929807
477	0.0703561588
478	0.07032091036
479	0.07028690824
480	0.07024266351
481	0.07020919878
482	0.07017578382
483	0.07012650256
484	0.07007320896
485	0.07004192835
486	0.07001270554
487	0.06995397909
488	0.06990772763
489	0.069884815
490	0.06985389521
491	0.06981441892
492	0.06976977475
493	0.06972820521
494	0.06969125861
495	0.06965127476
496	0.06962474945
497	0.06958221463
498	0.06953488789
499	0.06949582075
500	0.06946453893
501	0.06943375222
502	0.06939005921
503	0.06936290908
504	0.06933122226
505	0.06930168885
506	0.06926269366
507	0.069224222
508	0.06919382948
509	0.06915302396
510	0.06912392224
511	0.06908289966
512	0.06904062529
513	0.06901174209
514	0.06898354825
515	0.0689534874
516	0.0689212855
517	0.06889219751
518	0.06886405885
519	0.06882559495
520	0.06878510441
521	0.06874752078
522	0.0687153623
523	0.06866795745
524	0.06863377917
525	0.06860851171
526	0.06857226001
527	0.06853380105
528	0.06850237393
529	0.068476613
530	0.0684374284
531	0.06840950023
532	0.06838217813
533	0.06835354921
534	0.06832124237
535	0.06829845168
536	0.06826369256
537	0.06822581337
538	0.06819578212
539	0.06815473222
540	0.06813604693
541	0.06809572498
542	0.06805606335
543	0.06801644121
544	0.0679841508
545	0.06794799276
546	0.06793226027
547	0.06789111258
548	0.06785336833
549	0.06782354515
550	0.06779964808
551	0.06777064628
552	0.0677386097
553	0.06770767684
554	0.06766803883
555	0.06762891806
556	0.06759859376
557	0.06757017232
558	0.06753062189
559	0.06750659136
560	0.06748429926
561	0.06745455713
562	0.06743226506
563	0.06741212342
564	0.06736724174
565	0.06732970213
566	0.06729393801
567	0.06726282139
568	0.0672281611
569	0.06719696932
570	0.06717001237
571	0.06712853621
572	0.06709242519
573	0.06705844137
574	0.06701567041
575	0.06698206528
576	0.06696031204
577	0.06692194894
578	0.06688729852
579	0.06684266305
580	0.0668174865
581	0.0667813573
582	0.06675229705
583	0.06671315908
584	0.06666971721
585	0.06664077597
586	0.06661074088
587	0.06658513501
588	0.06654700583
589	0.06651341679
590	0.0664898781
591	0.06645052487
592	0.06641555931
593	0.06638235439
594	0.0663501712
595	0.06632510624
596	0.06628114032
597	0.06624959406
598	0.06621767826
599	0.06619276239
600	0.06616578782
601	0.06613299768
602	0.06610548537
603	0.06606445986
604	0.06602910759
605	0.06599465362
606	0.06595880037
607	0.06593916468
608	0.06590857904
609	0.06587088847
610	0.06584364249
611	0.06580834831
612	0.06577834533
613	0.06572524423
614	0.06569510724
615	0.06565810896
616	0.06563630537
617	0.06558934192
618	0.06556214263
619	0.06554282566
620	0.06551239975
621	0.06546636484
622	0.06543929871
623	0.06540906407
624	0.06537918023
625	0.0653478119
626	0.06530519022
627	0.0652775774
628	0.06524658752
629	0.06520934668
630	0.06517251273
631	0.0651467894
632	0.06511115549
633	0.06507764918
634	0.06504728689
635	0.06501282218
636	0.0649789376
637	0.06494277992
638	0.06491882978
639	0.06488039757
640	0.06484939648
641	0.06481822843
642	0.06478716832
643	0.06476092107
644	0.06473444358
645	0.06470247575
646	0.06466320879
647	0.06464667808
648	0.06461913
649	0.06459922647
650	0.06456178073
651	0.06453967999
652	0.06450505747
653	0.0644730508
654	0.06443552379
655	0.06441809029
656	0.06438152246
657	0.06434581549
658	0.0643230695
659	0.06429297081
660	0.06427949348
661	0.06425953745
662	0.06422151687
663	0.0641966661
664	0.06417576451
665	0.0641608385
666	0.06412901363
667	0.06409754591
668	0.06405642847
669	0.06402418112
670	0.06399151337
671	0.06396767219
672	0.06393940435
673	0.06391857804
674	0.06389862238
675	0.06385795384
676	0.06384053256
677	0.06381072879
678	0.06377508419
679	0.06374965322
680	0.06372361236
681	0.06367790585
682	0.06365351262
683	0.06363057105
684	0.06360069132
685	0.06355478843
686	0.06353577787
687	0.06350454503
688	0.06348031317
689	0.06345951568
690	0.06342725094
691	0.06338522267
692	0.06335647879
693	0.06333795241
694	0.06331895902
695	0.06328526754
696	0.06326379859
697	0.06323622646
698	0.06319826489
699	0.0631690226
700	0.06314874122
701	0.06310452692
702	0.06308915699
703	0.06306866775
704	0.06303391253
705	0.06300360192
706	0.06296614231
707	0.06293955673
708	0.06291225574
709	0.06288364504
710	0.0628627405
711	0.06282208444
712	0.06280280904
713	0.06276884032
714	0.06275087418
715	0.06271297375
716	0.06268068331
717	0.0626561028
718	0.06260406304
719	0.06258162783
720	0.06255188746
721	0.06252732862
722	0.06250194251
723	0.06247247908
724	0.06244026855
725	0.06240445561
726	0.06236962419
727	0.06235187466
728	0.06231820235
729	0.06227261115
730	0.0622515084
731	0.06222306367
732	0.06220381711
733	0.06217463502
734	0.06214859344
735	0.0621275071
736	0.06209378883
737	0.06205837434
738	0.06201998785
739	0.06198465412
740	0.06194614607
741	0.06191942938
742	0.06188701513
743	0.0618683921
744	0.06183969964
745	0.06180795582
746	0.06178775029
747	0.06175504554
748	0.06173600524
749	0.06171302336
750	0.0616829771
751	0.06165655231
752	0.06162650416
753	0.06158904087
754	0.06156612025
755	0.06153042361
756	0.0615018169
757	0.06146266301
758	0.06142061468
759	0.0614029158
760	0.06136800726
761	0.06133844786
762	0.06129242097
763	0.06126448121
764	0.06124203483
765	0.06120759539
766	0.06118088322
767	0.06116027791
768	0.06113945593
769	0.06112414486
770	0.06109326379
771	0.06106294978
772	0.06102880571
773	0.06099636996
774	0.06096558068
775	0.06094680583
776	0.06092444508
777	0.06090515522
778	0.06087093658
779	0.06085092325
780	0.06081956546
781	0.06078630823
782	0.06076572322
783	0.06072921369
784	0.06070688666
785	0.06067660505
786	0.06063807317
787	0.06060014083
788	0.06057761495
789	0.0605534269
790	0.06052907936
791	0.06050718873
792	0.06048364211
793	0.0604545986
794	0.0604259975
795	0.06040779666
796	0.06038050516
797	0.06035505809
798	0.06033357709
799	0.06029263253
800	0.06026673266
801	0.06022878287
802	0.0602100888
803	0.06017825905
804	0.06014498431
805	0.06011063075
806	0.06008184763
807	0.06006618998
808	0.06004926331
809	0.06002002325
810	0.0599975754
811	0.05997711226
812	0.05995792233
813	0.05991847372
814	0.0598949474
815	0.05987073431
816	0.05983444902
817	0.05980388589
818	0.05975801068
819	0.05972503238
820	0.05967818737
821	0.0596545232
822	0.05963109185
823	0.05960863943
824	0.05958389886
825	0.05956079575
826	0.05951903783
827	0.05949849736
828	0.0594723214
829	0.05944014817
830	0.05941263338
831	0.05938113346
832	0.0593483863
833	0.05932383042
834	0.05930177539
835	0.05926588775
836	0.05925205593
837	0.05922249366
838	0.059204313
839	0.05917390935
840	0.05915245186
841	0.05911608519
842	0.05909917005
843	0.05907647103
844	0.05905361464
845	0.05903613091
846	0.05900653346
847	0.05898923659
848	0.05895850579
849	0.05893511519
850	0.05890931123
851	0.05888132306
852	0.05885598406
853	0.05882192135
854	0.05879587654
855	0.05877903217
856	0.05874575313
857	0.05872806438
858	0.05870980703
859	0.05868881313
860	0.05866010591
861	0.05862510221
862	0.05859879518
863	0.05857020259
864	0.05854748428
865	0.05852021695
866	0.05848490723
867	0.05846185198
868	0.05843495925
869	0.0584086386
870	0.05837452824
871	0.05834559987
872	0.05832420895
873	0.05829378844
874	0.05826797341
875	0.05823001622
876	0.0581990765
877	0.05816575993
878	0.05813609157
879	0.05810375988
880	0.05807346208
881	0.05804736063
882	0.05802340802
883	0.05800056621
884	0.0579770207
885	0.05794821494
886	0.05792988224
887	0.0578994417
888	0.05788183697
889	0.05785492608
890	0.05782722208
891	0.05780125342
892	0.05776521325
893	0.05773767557
894	0.05771150984
895	0.05767683004
896	0.05765733554
897	0.0576415375
898	0.0576142065
899	0.05759237542
900	0.05756176773
901	0.05754723092
902	0.05751750447
903	0.05749267019
904	0.05746716821
905	0.0574458892
906	0.05742559795
907	0.05739421395
908	0.05737011228
909	0.05734001855
910	0.05731036827
911	0.05729263537
912	0.05727274006
913	0.05724049838
914	0.05722034255
915	0.05719257357
916	0.05717362504
917	0.05715182426
918	0.05712538449
919	0.05708390478
920	0.05706720602
921	0.057035262
922	0.05700665913
923	0.05699032914
924	0.05696325002
925	0.05691977032
926	0.05689447688
927	0.0568706383
928	0.0568567526
929	0.05683388841
930	0.05680894195
931	0.05677236466
932	0.05674583922
933	0.05672561303
934	0.05670676366
935	0.05668233159
936	0.05665302965
937	0.05662901092
938	0.0566019532
939	0.0565825441
940	0.05655354872
941	0.05651753024
942	0.05649890621
943	0.05646229438
944	0.0564440681
945	0.05640728125
946	0.05638466478
947	0.05635729807
948	0.05633835066
949	0.05632011123
950	0.05628322064
951	0.0562685485
952	0.05624876107
953	0.05622363313
954	0.05620010605
955	0.05617348895
956	0.05615546643
957	0.05613420108
958	0.05610751651
959	0.05606322101
960	0.0560368023
961	0.05600232556
962	0.05597917931
963	0.05595535475
964	0.0559074182
965	0.05587986166
966	0.05585586766
967	0.05582866427
968	0.05580096009
969	0.05577455898
970	0.05573890126
971	0.05570465021
972	0.05568650493
973	0.05566007392
974	0.05563245113
975	0.05560208654
976	0.05557258871
977	0.05554496076
978	0.05552185099
979	0.05549082789
980	0.0554593932
981	0.0554330593
982	0.05541723243
983	0.05538927657
984	0.0553677882
985	0.05535223953
986	0.05532525264
987	0.05529926652
988	0.05527067236
989	0.05523074203
990	0.05521721654
991	0.05519706357
992	0.0551651901
993	0.0551531428
994	0.05513518489
995	0.05511074074
996	0.05508690812
997	0.05505904287
998	0.05504783156
999	0.05502984912
